CH_1_us,CH_1_v
0.000000,0.320000
0.400000,0.320000
0.800000,0.320000
1.200000,0.320000
1.600000,0.320000
2.000000,0.320000
2.400000,0.320000
2.800000,0.320000
3.200000,0.320000
3.600000,0.160000
4.000000,-0.040000
4.400000,-0.280000
4.800000,-0.520000
5.200000,-0.760000
5.600000,-0.920000
6.000000,-1.080000
6.400000,-0.920000
6.800000,-0.600000
7.200000,-0.480000
7.600000,-0.400000
8.000000,-0.360000
8.400000,-0.320000
8.800000,-0.320000
9.200000,-0.280000
9.600000,-0.280000
10.000000,-0.280000
10.400000,-0.240000
10.800000,-0.240000
11.200000,-0.200000
11.600000,-0.120000
12.000000,-0.040000
12.400000,0.080000
12.800000,0.120000
13.200000,0.240000
13.600000,0.200000
14.000000,0.240000
14.400000,0.240000
14.800000,0.200000
15.200000,0.120000
15.600000,0.040000
16.000000,-0.040000
16.400000,-0.160000
16.800000,-0.280000
17.200000,-0.440000
17.600000,-0.480000
18.000000,-0.480000
18.400000,-0.640000
18.800000,-0.520000
19.200000,-0.440000
19.600000,-0.400000
20.000000,-0.360000
20.400000,-0.320000
20.800000,-0.280000
21.200000,-0.280000
21.600000,-0.280000
22.000000,-0.280000
22.400000,-0.280000
22.800000,-0.280000
23.200000,-0.280000
23.600000,-0.240000
24.000000,-0.240000
24.400000,-0.240000
24.800000,-0.240000
25.200000,-0.240000
25.600000,-0.200000
26.000000,-0.160000
26.400000,-0.120000
26.800000,-0.080000
27.200000,-0.040000
27.600000,0.000000
28.000000,0.000000
28.400000,0.040000
28.800000,0.040000
29.200000,0.000000
29.600000,0.000000
30.000000,0.000000
30.400000,-0.120000
30.800000,-0.200000
31.200000,-0.360000
31.600000,-0.400000
32.000000,-0.480000
32.400000,-0.440000
32.800000,-0.400000
33.200000,-0.360000
33.600000,-0.320000
34.000000,-0.280000
34.400000,-0.280000
34.800000,-0.280000
35.200000,-0.240000
35.600000,-0.280000
36.000000,-0.280000
36.400000,-0.280000
36.800000,-0.240000
37.200000,-0.240000
37.600000,-0.240000
38.000000,-0.240000
38.400000,-0.200000
38.800000,-0.160000
39.200000,-0.040000
39.600000,0.120000
40.000000,0.280000
40.400000,0.360000
40.800000,0.400000
41.200000,0.480000
41.600000,0.520000
42.000000,0.400000
42.400000,0.360000
42.800000,0.240000
43.200000,0.080000
43.600000,-0.080000
44.000000,-0.240000
44.400000,-0.440000
44.800000,-0.640000
45.200000,-0.840000
45.600000,-0.960000
46.000000,-0.720000
46.400000,-0.480000
46.800000,-0.400000
47.200000,-0.360000
47.600000,-0.320000
48.000000,-0.320000
48.400000,-0.280000
48.800000,-0.280000
49.200000,-0.240000
49.600000,-0.240000
50.000000,-0.240000
50.400000,-0.240000
50.800000,-0.160000
51.200000,0.040000
51.600000,0.240000
52.000000,0.400000
52.400000,0.600000
52.800000,0.760000
53.200000,0.840000
53.600000,0.880000
54.000000,0.840000
54.400000,0.800000
54.800000,0.680000
55.200000,0.480000
55.600000,0.200000
56.000000,-0.080000
56.400000,-0.360000
56.800000,-0.640000
57.200000,-0.920000
57.600000,-1.240000
58.000000,-1.320000
58.400000,-1.000000
58.800000,-0.600000
59.200000,-0.480000
59.600000,-0.400000
60.000000,-0.360000
60.400000,-0.320000
60.800000,-0.320000
61.200000,-0.280000
61.600000,-0.280000
62.000000,-0.240000
62.400000,-0.240000
62.800000,-0.160000
63.200000,0.080000
63.600000,0.360000
64.000000,0.640000
64.400000,0.840000
64.800000,1.000000
65.200000,1.120000
65.600000,1.160000
66.000000,1.120000
66.400000,1.000000
66.800000,0.840000
67.200000,0.600000
67.600000,0.360000
68.000000,0.000000
68.400000,-0.360000
68.800000,-0.680000
